2in_xor,10,5,100,100,20,-20,4.66376175432831e-07,2,0,7,0,1
1in_cubic,10,5,100,100,20,-20,4.881565007555766e-34,1,2,0,2,5
1in_linear,10,5,100,100,20,-20,3.873035296652389e-05,4,0,2,2,2
1in_sine,10,5,100,100,20,-20,2.263245163029368e-10,3,2,3,1,1
1in_tanh,10,5,100,100,20,-20,0.0,3,1,2,2,2
2in_complex,10,5,100,100,20,-20,9.538988160831079e-06,1,2,1,2,4
2in_xor,10,5,100,100,20,-20,1.0733144067169595e-05,4,1,1,1,3
1in_cubic,10,5,100,100,20,-20,4.881565007555766e-34,3,0,3,0,4
1in_linear,10,5,100,100,20,-20,1.3087342190454688e-07,0,5,0,4,1
1in_sine,10,5,100,100,20,-20,1.79012068464288e-07,3,2,2,0,3
1in_tanh,10,5,100,100,20,-20,0.0,4,3,0,0,3
2in_complex,10,5,100,100,20,-20,3.862557427904696e-06,1,1,3,2,3
2in_xor,10,5,100,100,20,-20,2.6730154021778255e-05,3,1,2,2,2
1in_cubic,10,5,100,100,20,-20,4.881565007555766e-34,2,4,3,0,1
1in_linear,10,5,100,100,20,-20,3.9836737266002984e-06,0,5,2,1,2
1in_sine,10,5,100,100,20,-20,5.137766683393584e-08,1,3,2,3,1
1in_tanh,10,5,100,100,20,-20,0.0,2,1,2,3,2
2in_complex,10,5,100,100,20,-20,8.375261503813044e-05,1,2,2,2,3
2in_xor,10,5,100,100,20,-20,2.068220260103803e-05,2,2,1,0,5
1in_cubic,10,5,100,100,20,-20,4.881565007555766e-34,4,0,2,1,3
1in_linear,10,5,100,100,20,-20,8.373521659354071e-05,2,3,3,0,2
1in_sine,10,5,100,100,20,-20,3.3235312142570825e-06,3,3,1,2,1
1in_tanh,10,5,100,100,20,-20,0.0,1,2,1,4,2
2in_complex,10,5,100,100,20,-20,2.6447529663300154e-06,1,1,2,2,4
2in_xor,10,5,100,100,20,-20,1.2095014140542188e-07,4,0,1,3,2
1in_cubic,10,5,100,100,20,-20,4.881565007555766e-34,1,2,4,2,1
1in_linear,10,5,100,100,20,-20,8.375134325320257e-07,3,1,1,1,4
1in_sine,10,5,100,100,20,-20,2.7518977475805246e-08,3,2,2,3,0
1in_tanh,10,5,100,100,20,-20,0.0,2,2,3,1,2
2in_complex,10,5,100,100,20,-20,1.6727966749782875e-05,2,3,1,1,3
2in_xor,10,5,100,100,20,-20,2.4047746707060535e-05,1,2,2,1,4
1in_cubic,10,5,100,100,20,-20,4.881565007555766e-34,2,3,0,2,3
1in_linear,10,5,100,100,20,-20,5.193696650195525e-06,1,1,3,3,2
1in_sine,10,5,100,100,20,-20,3.076585394134693e-07,2,2,2,3,1
1in_tanh,10,5,100,100,20,-20,0.0,4,2,1,1,2
2in_complex,10,5,100,100,20,-20,6.651858152598417e-07,2,4,1,1,2
2in_xor,10,5,100,100,20,-20,0.00021529449215327748,0,3,4,3,0
1in_cubic,10,5,100,100,20,-20,4.881565007555766e-34,1,5,0,2,2
1in_linear,10,5,100,100,20,-20,5.3994883042697125e-08,5,2,1,1,1
1in_sine,10,5,100,100,20,-20,1.530328482820381e-05,2,1,5,1,1
1in_tanh,10,5,100,100,20,-20,0.0,1,3,3,2,1
2in_complex,10,5,100,100,20,-20,2.678506647078064e-05,4,3,2,0,1
2in_xor,10,5,100,100,20,-20,0.00023708182903429994,1,6,1,1,1
